Reference,Subhead,Match Status,X-Coord,Page,Even/Odd
Genesis 46:7,Jacob's Family,COULD NOT MATCH,,,
Genesis 46:27,Jacob Arrives in Egypt,MATCH,"(28.346500396728516, 158.48089599609375, 110.85598754882812, 168.95289611816406)",27.0,ODD
Genesis 47:34,Pharaoh Welcomes Jacob,MATCH,"(28.346500396728516, 334.48089599609375, 122.07600402832031, 344.952880859375)",27.0,ODD
Genesis 47:12,The Land Becomes Pharaoh's,COULD NOT MATCH,,,
Genesis 47:26,Israel Settles in Goshen,MATCH,"(209.91929626464844, 462.48089599609375, 299.48388671875, 472.952880859375)",27.0,ODD
Genesis 48:31,Jacob Blesses Ephraim and Manasseh,MATCH,"(17.00790023803711, 22.48088836669922, 154.8098907470703, 32.95288848876953)",28.0,ODD
Genesis 48:12,Ephraim's Greater Blessing,COULD NOT MATCH,,,
Genesis 49:22,Jacob's Last Words,COULD NOT MATCH,,,
Genesis 49:28,Jacob's Burial Instructions,COULD NOT MATCH,,,
Genesis 50:14,Joseph's Kindness,COULD NOT MATCH,,,
Genesis 50:21,Joseph's Death,COULD NOT MATCH,,,
